09/15/18 12:42:18 : New attack from [ 3(NXDOMAIN), 192.168.4.88 ], create new DROP rule in iptables
09/15/18 13:30:50 : Dos attack from [ ,  ] 
09/15/18 13:31:56 : Dos attack from [ ,  ] 
09/15/18 13:31:56 : Dos attack from [ ,  ] 
09/15/18 13:31:57 : Dos attack from [ ,  ] 
09/15/18 13:31:57 : Dos attack from [ ,  ] 
09/15/18 13:31:57 : Dos attack from [ ,  ] 
09/15/18 13:31:58 : Dos attack from [ ,  ] 
09/15/18 13:31:58 : Dos attack from [ ,  ] 
09/15/18 13:31:59 : Dos attack from [ ,  ] 
09/15/18 13:31:59 : Dos attack from [ ,  ] 
09/15/18 13:31:59 : Dos attack from [ ,  ] 
09/15/18 13:32:00 : Dos attack from [ ,  ] 
09/15/18 13:32:00 : Dos attack from [ ,  ] 
09/15/18 13:32:00 : Dos attack from [ ,  ] 
09/15/18 13:32:01 : Dos attack from [ ,  ] 
09/15/18 13:32:01 : Dos attack from [ ,  ] 
09/15/18 13:32:01 : Dos attack from [ ,  ] 
09/15/18 13:32:02 : Dos attack from [ ,  ] 
09/15/18 13:32:02 : Dos attack from [ ,  ] 
09/15/18 13:32:02 : Dos attack from [ ,  ] 
09/15/18 13:32:03 : Dos attack from [ ,  ] 
09/15/18 13:32:03 : Dos attack from [ ,  ] 
09/15/18 13:32:03 : Dos attack from [ ,  ] 
09/15/18 13:32:04 : Dos attack from [ ,  ] 
09/15/18 13:32:04 : Dos attack from [ ,  ] 
09/15/18 13:32:04 : Dos attack from [ ,  ] 
09/15/18 13:32:05 : Dos attack from [ ,  ] 
09/15/18 13:32:05 : Dos attack from [ ,  ] 
09/15/18 13:32:05 : Dos attack from [ ,  ] 
09/15/18 13:32:06 : Dos attack from [ ,  ] 
09/15/18 13:32:06 : Dos attack from [ ,  ] 
09/15/18 13:32:07 : Dos attack from [ ,  ] 
09/15/18 13:32:07 : Dos attack from [ ,  ] 
09/15/18 13:32:07 : Dos attack from [ ,  ] 
09/15/18 13:32:08 : Dos attack from [ ,  ] 
09/15/18 13:32:08 : Dos attack from [ ,  ] 
09/15/18 13:32:08 : Dos attack from [ ,  ] 
09/15/18 13:32:09 : Dos attack from [ ,  ] 
09/15/18 13:32:09 : Dos attack from [ ,  ] 
09/15/18 13:32:09 : Dos attack from [ ,  ] 
09/15/18 13:32:10 : Dos attack from [ ,  ] 
09/15/18 13:32:10 : Dos attack from [ ,  ] 
09/15/18 13:32:10 : Dos attack from [ ,  ] 
09/15/18 13:32:11 : Dos attack from [ ,  ] 
09/15/18 13:32:11 : Dos attack from [ ,  ] 
